antecedents_str,consequents_str,support,confidence,lift,leverage,conviction,antecedent_support,consequent_support
"giant, graveyard",OUTCOME=LOSS,0.010756843800322,0.6242990654205607,1.2485981308411214,0.0021417069243156,1.3308457711442785,0.0172302737520128,0.5
"arrows, giant, graveyard",OUTCOME=LOSS,0.0103596349973161,0.6221792392005158,1.2443584784010315,0.0020343531937734,1.3233788395904436,0.0166505636070853,0.5
"giant, giant-snowball-ev1",OUTCOME=LOSS,0.0100805152979066,0.6214427531436134,1.2428855062872268,0.0019699409554482,1.3208041958041954,0.0162211486849168,0.5
"arrows, giant-snowball-ev1, graveyard",OUTCOME=LOSS,0.0102093397745571,0.6187378009108654,1.2374756018217308,0.0019592055823939,1.3114334470989764,0.0165002683843263,0.5
"arrows, witch-ev1",OUTCOME=LOSS,0.0166183574879227,0.6164874551971327,1.232974910394265,0.0031400966183574,1.3037383177570094,0.0269565217391304,0.5
"arrows, minions",OUTCOME=LOSS,0.0110896403650026,0.6159809183064997,1.2319618366129994,0.0020880300590445,1.3020186335403727,0.0180032206119162,0.5
"arrows, bowler, graveyard",OUTCOME=LOSS,0.0100697799248523,0.6146788990825688,1.2293577981651376,0.0018786902844873,1.2976190476190474,0.01638217928073,0.5
"bowler, giant",OUTCOME=LOSS,0.0101341921631776,0.6125892277741727,1.2251784555483454,0.001862587224906,1.2906197654941376,0.0165432098765432,0.5
"arrows, giant-snowball-ev1, guards",OUTCOME=LOSS,0.0118089103596349,0.6094182825484765,1.218836565096953,0.0021202361782071,1.2801418439716314,0.0193773483628556,0.5
"giant-snowball-ev1, graveyard",OUTCOME=LOSS,0.0108749329039184,0.6076784643071386,1.2153569286142771,0.0019269994632313,1.2744648318042813,0.0178958668813741,0.5
"bowler, graveyard, guards",OUTCOME=LOSS,0.0105850778314546,0.6056511056511056,1.2113022113022112,0.0018464841653247,1.2679127725856696,0.0174771873322597,0.5
"arrows, giant-snowball-ev1",OUTCOME=LOSS,0.0136983360171765,0.6056003796867584,1.2112007593735168,0.0023886205045625,1.2677496991576414,0.0226194310252281,0.5
"arrows, graveyard",OUTCOME=LOSS,0.0120343531937734,0.6046386192017261,1.2092772384034522,0.0020826623725174,1.264665757162347,0.019903381642512,0.5
firecracker,OUTCOME=LOSS,0.0118733225979602,0.6020685900925422,1.2041371801850844,0.002012882447665,1.256497948016416,0.0197208803005904,0.5
"elixir-golem, goblin-machine, rage",OUTCOME=LOSS,0.0116264090177133,0.599004424778761,1.198008849557522,0.0019216317767042,1.246896551724138,0.0194095544820182,0.5
"giant, guards",OUTCOME=LOSS,0.0117552334943639,0.5980338612779901,1.1960677225559802,0.0019269994632313,1.243885869565217,0.0196564680622651,0.5
"elixir-golem, rage",OUTCOME=LOSS,0.015276435856146,0.5961457896941768,1.1922915793883535,0.002463768115942,1.238070539419087,0.0256253354804079,0.5
"arrows, elixir-golem, rage",OUTCOME=LOSS,0.0123671497584541,0.5947341249354672,1.1894682498709344,0.0019699409554482,1.233757961783439,0.0207944176060118,0.5
"elixir-golem, night-witch, rage",OUTCOME=LOSS,0.0126033279656468,0.5947315096251267,1.189463019250253,0.0020075147611379,1.23375,0.0211916264090177,0.5
"elixir-golem, goblin-machine, skeleton-king",OUTCOME=LOSS,0.0103703703703703,0.5937307928703134,1.1874615857406268,0.0016371443907675,1.2307110438729196,0.0174664519592055,0.5
"elixir-golem, night-witch",OUTCOME=LOSS,0.0144927536231884,0.5936675461741425,1.187335092348285,0.0022866344605475,1.2305194805194806,0.0244122383252818,0.5
"elixir-golem, goblin-machine",OUTCOME=LOSS,0.0132474503488996,0.5932692307692308,1.1865384615384615,0.0020826623725174,1.2293144208037825,0.0223295759527643,0.5
"night-witch, rage",OUTCOME=LOSS,0.0128931830381105,0.5927936821322803,1.185587364264561,0.0020182501341921,1.2278787878787878,0.0217498658078368,0.5
"arrows, night-witch, rage",OUTCOME=LOSS,0.0110144927536231,0.5923787528868361,1.184757505773672,0.0017176596886741,1.226628895184136,0.018593666129898,0.5
"arrows, elixir-golem, night-witch",OUTCOME=LOSS,0.0123456790123456,0.5915637860082303,1.183127572016461,0.00191089640365,1.224181360201511,0.0208695652173913,0.5
"bowler, graveyard",OUTCOME=LOSS,0.0128073000536768,0.5914724838869608,1.1829449677739217,0.0019806763285024,1.2239077669902914,0.0216532474503489,0.5
"arrows, elixir-golem, goblin-machine",OUTCOME=LOSS,0.0107890499194847,0.5897887323943662,1.1795774647887325,0.0016425120772946,1.218884120171674,0.01829307568438,0.5
elixir-golem,OUTCOME=LOSS,0.0203864734299516,0.5897515527950311,1.1795031055900622,0.0031025228126677,1.218773656320969,0.0345679012345679,0.5
"elixir-golem, goblin-machine, night-witch",OUTCOME=LOSS,0.0109715512614063,0.5897287939988459,1.1794575879976918,0.0016693505099302,1.2187060478199718,0.0186044015029522,0.5
bats,OUTCOME=LOSS,0.0141384863123993,0.5892617449664429,1.1785234899328858,0.0021417069243156,1.2173202614379084,0.0239935587761674,0.5
"goblin-machine, night-witch, rage",OUTCOME=LOSS,0.0100697799248523,0.5880877742946709,1.1761755485893417,0.001508319914117,1.2138508371385084,0.0171229200214707,0.5
"elixir-golem, rage, skeleton-king",OUTCOME=LOSS,0.0110144927536231,0.5879656160458453,1.1759312320916906,0.0016478797638217,1.2134909596662031,0.0187332259796027,0.5
"elixir-golem, skeleton-king",OUTCOME=LOSS,0.0122705314009661,0.5876606683804627,1.1753213367609254,0.0018303811057434,1.2125935162094763,0.0208803005904455,0.5
"graveyard, guards",OUTCOME=LOSS,0.0126784755770263,0.5875621890547263,1.1751243781094527,0.0018894256575415,1.212303980699638,0.0215780998389694,0.5
"rage, skeleton-king",OUTCOME=LOSS,0.0112399355877616,0.5875420875420875,1.175084175084175,0.0016747181964573,1.2122448979591836,0.0191304347826086,0.5
"goblin-machine, night-witch",OUTCOME=LOSS,0.0112184648416532,0.5857623318385651,1.1715246636771302,0.0016425120772946,1.2070365358592694,0.0191519055287171,0.5
"night-witch, skeleton-king",OUTCOME=LOSS,0.0109930220075147,0.5844748858447488,1.1689497716894977,0.0015888352120236,1.2032967032967032,0.0188083735909822,0.5
"arrows, elixir-golem, skeleton-king",OUTCOME=LOSS,0.0106280193236714,0.5844155844155845,1.168831168831169,0.0015351583467525,1.2031250000000002,0.0181857219538378,0.5
"graveyard, witch-ev1",OUTCOME=LOSS,0.0163607085346215,0.5841318512840168,1.1682637025680336,0.0023564143853998,1.2023041474654377,0.0280085882984433,0.5
"elixir-golem, night-witch, skeleton-king",OUTCOME=LOSS,0.0103811057434245,0.5828812537673297,1.1657625075346594,0.0014761137949543,1.1986994219653178,0.0178099838969404,0.5
"arrows, elixir-golem",OUTCOME=LOSS,0.0155984970477724,0.5823647294589178,1.1647294589178356,0.0022061191626409,1.1972168905950096,0.026784755770263,0.5
"goblin-machine, skeleton-king",OUTCOME=LOSS,0.0110466988727858,0.5823429541595925,1.164685908319185,0.001561996779388,1.197154471544715,0.0189694041867954,0.5
minions,OUTCOME=LOSS,0.0144283413848631,0.5808124459809854,1.1616248919619707,0.0020075147611379,1.1927835051546394,0.0248416532474503,0.5
skeleton-army,OUTCOME=LOSS,0.0104777241009125,0.5788849347568209,1.1577698695136418,0.0014278046162104,1.1873239436619718,0.0180998389694041,0.5
"arrows, giant",OUTCOME=LOSS,0.016285560923242,0.5772450532724505,1.154490106544901,0.0021792807300053,1.1827182718271825,0.0282125603864734,0.5
firecracker-ev1,OUTCOME=LOSS,0.0359527643585614,0.5752318790793542,1.1504637581587085,0.0047020933977455,1.1771128184391428,0.0625013419216317,0.5
"goblin-gang, mighty-miner",OUTCOME=LOSS,0.0103811057434245,0.5738872403560832,1.1477744807121664,0.0013365539452495,1.173398328690808,0.0180891035963499,0.5
"royal-hogs, zappies",OUTCOME=LOSS,0.0178743961352657,0.5721649484536083,1.1443298969072166,0.0022544283413848,1.1686746987951808,0.0312399355877616,0.5
"royal-hogs, royal-recruits-ev1, zappies",OUTCOME=LOSS,0.0177563070316693,0.5711325966850829,1.1422651933701655,0.002211486849168,1.1658615136876007,0.0310896403650026,0.5
"flying-machine, royal-hogs, zappies",OUTCOME=LOSS,0.0175201288244766,0.5708289611752361,1.141657922350472,0.0021739130434782,1.165036674816626,0.0306924315619967,0.5
"arrows, bowler",OUTCOME=LOSS,0.0128931830381105,0.5708174904942965,1.141634980988593,0.0015995705850778,1.16500553709856,0.0225872249060654,0.5
"bowler, guards",OUTCOME=LOSS,0.012667740203972,0.5700483091787439,1.140096618357488,0.0015566290928609,1.1629213483146066,0.0222222222222222,0.5
"flying-machine, zappies",OUTCOME=LOSS,0.0189586688137412,0.5696774193548386,1.1393548387096772,0.0023188405797101,1.16191904047976,0.0332796564680622,0.5
"flying-machine, royal-recruits-ev1, zappies",OUTCOME=LOSS,0.0188513150831991,0.5690213869086196,1.1380427738172392,0.0022866344605475,1.1601503759398497,0.0331293612453032,0.5
"royal-recruits-ev1, zappies",OUTCOME=LOSS,0.0194847020933977,0.568787214039486,1.137574428078972,0.0023564143853998,1.159520348837209,0.0342565754159957,0.5
